7,8,p
10,11,p
10,52,p_c
12,13,p
12,54,p_c
14,15,p
14,56,p_c
16,10,s
16,17,p
16,40,l
16,52,p_d
16,58,p_c
16,65,p_u
18,12,s
18,19,p
18,41,l
18,54,p_d
18,60,p_c
18,63,p_u
20,14,s
20,21,p
20,37,l
20,56,p_d
20,56,p_u
22,16,s
22,18,s
22,23,p
22,29,l
22,38,l
22,44,p_u
22,58,p_d
22,60,p_d
22,62,p_u
37,63,p_c
37,65,p_c
38,37,s
38,63,p_d
38,65,p_d
44,29,p_c
44,58,n
44,60,n
45,44,c
46,56,n
47,46,c
48,54,n
49,48,c
50,52,n
51,50,c
52,53,k
52,65,n
54,55,k
54,63,n
56,37,p_c
56,57,k
58,59,k
58,62,c
60,61,k
60,62,c
62,38,p_c
63,41,p_c
63,64,k
65,40,p_c
65,64,k
