7,8,p
10,11,p
10,26,c
10,30,c
12,13,p
12,28,c
14,15,p
14,26,s
14,36,l
14,46,l
14,50,l
14,87,c
14,87,p_c
14,91,d
14,91,p_d
14,91,p_u
14,91,u
14,99,p_u
14,99,u
14,102,p_u
14,102,u
16,17,p
16,28,s
16,89,c
16,89,p_c
16,93,d
16,93,p_d
18,14,s
18,19,p
18,41,l
18,87,d
18,87,p_d
18,87,p_u
18,87,u
20,16,s
20,21,p
20,42,l
20,89,d
20,89,p_d
20,89,p_u
20,89,u
26,11,p
26,91,c
26,91,p_c
28,13,p
28,93,c
28,93,p_c
30,11,p
36,11,p
41,15,p
41,56,c
42,17,p
42,57,c
46,13,p
50,11,p
50,13,p
56,15,p
56,111,c
56,111,p_c
57,17,p
57,113,c
57,113,p_c
58,56,s
58,59,p
58,66,l
58,71,l
58,111,d
58,111,p_d
58,111,p_u
58,111,u
60,57,s
60,61,p
60,69,l
60,74,l
60,113,d
60,113,p_d
60,113,p_u
60,113,u
62,63,p
62,67,s
62,73,l
62,115,d
62,115,p_d
62,115,p_u
62,115,u
66,15,p
66,67,l
66,110,p_u
66,110,u
67,11,p
67,115,c
67,115,p_c
69,17,p
69,70,l
69,109,p_u
69,109,u
70,13,p
70,100,c
70,100,p_c
71,15,p
71,70,s
71,100,d
71,100,p_d
73,11,p
73,98,c
73,98,p_c
74,17,p
74,73,s
74,98,d
74,98,p_d
79,89,n
80,79,c
81,87,n
82,81,c
83,93,n
84,83,c
85,91,n
86,85,c
87,15,p
87,41,c
87,41,p_c
87,88,k
88,87,a
89,17,p
89,42,c
89,42,p_c
89,90,k
90,89,a
91,11,p
91,36,c
91,36,p_c
91,92,k
91,96,c
91,102,c
92,91,a
93,13,p
93,94,k
93,95,c
93,101,c
94,93,a
95,13,p
95,109,c
96,11,p
96,110,c
97,11,p
97,101,c
98,11,p
98,97,c
98,118,k
99,13,p
99,46,c
99,46,p_c
99,102,c
100,13,p
100,99,c
100,117,k
101,11,p
101,13,p
102,11,p
102,13,p
102,50,c
102,50,p_c
103,115,n
104,103,c
105,113,n
106,105,c
107,111,n
108,107,c
109,13,p
109,70,c
109,70,p_c
109,98,n
110,11,p
110,67,c
110,67,p_c
110,100,n
111,15,p
111,66,c
111,66,p_c
111,71,c
111,71,p_c
111,112,k
112,111,a
113,17,p
113,69,c
113,69,p_c
113,74,c
113,74,p_c
113,114,k
114,113,a
115,11,p
115,73,c
115,73,p_c
115,116,k
116,115,a
117,100,a
118,98,a
