7,8,p
10,11,p
10,52,c
10,52,p_c
12,13,p
12,54,c
12,54,p_c
14,15,p
14,56,c
14,56,p_c
16,10,s
16,17,p
16,40,l
16,52,d
16,52,p_d
16,58,c
16,58,p_c
16,65,p_u
16,65,u
18,12,s
18,19,p
18,41,l
18,54,d
18,54,p_d
18,60,c
18,60,p_c
18,63,p_u
18,63,u
20,14,s
20,21,p
20,37,l
20,56,d
20,56,p_d
20,56,p_u
20,56,u
22,16,s
22,18,s
22,23,p
22,29,l
22,38,l
22,44,p_u
22,44,u
22,58,d
22,58,p_d
22,60,d
22,60,p_d
22,62,p_u
22,62,u
37,15,p
37,63,c
37,63,p_c
37,65,c
37,65,p_c
38,17,p
38,19,p
38,37,s
38,63,d
38,63,p_d
38,65,d
38,65,p_d
40,11,p
40,15,p
41,13,p
41,15,p
44,29,c
44,29,p_c
44,58,n
44,60,n
45,44,c
46,56,n
47,46,c
48,54,n
49,48,c
50,52,n
51,50,c
52,11,p
52,53,k
52,65,c
52,65,n
53,52,a
54,13,p
54,55,k
54,63,c
54,63,n
55,54,a
56,15,p
56,37,c
56,37,p_c
56,57,k
57,56,a
58,17,p
58,59,k
58,62,c
59,58,a
60,19,p
60,61,k
60,62,c
61,60,a
62,17,p
62,19,p
62,38,c
62,38,p_c
63,13,p
63,15,p
63,41,c
63,41,p_c
63,64,k
64,63,a
64,65,a
65,11,p
65,15,p
65,40,c
65,40,p_c
65,64,k
